input_street,input_city,input_county,input_state,most_sim_street,sim_score,mostsimstreet_id,highway,lanes,oneway
E Willow St,Lafayette,Lafayette,LA,West Willow Street,69,12672590,secondary,Not_Present_Value,yes
N 22nd St,Baton Rouge,East Baton Rouge,LA,North 22nd Street,69,12633470,primary,4,Not_Present_Value
N 38th St,Baton Rouge,East Baton Rouge,LA,North 38th Street,69,12632505,residential,Not_Present_Value,Not_Present_Value
S Main St,Anderson,Anderson,SC,South Main Street,69,330162955,primary,4,no
G3598 Fenton Rd,Flint,Genesee,MI,Fenton Road,69,933174816,tertiary,4,Not_Present_Value
N Soto St,Los Angeles,Los Angeles,CA,North Soto Street,69,518080107,primary,4,Not_Present_Value
Highway 96 W,Saint Paul,Ramsey,MN,County Highway 96,69,722635212,primary,2,yes
Highway 6 S,Houston,Harris,TX,South Highway 6,69,917329447,primary,4,yes
S 60th St,Omaha,Douglas,NE,South 60th Street,69,942408655,secondary,3,yes
S 96th St,Omaha,Douglas,NE,South 96th Street,69,176070091,secondary,2,yes
12th St N,Birmingham,Jefferson,AL,12th Street North,69,54602022,unclassified,Not_Present_Value,Not_Present_Value
Lyndon B Johnson Fwy,Dallas,Dallas,TX,Lyndon B. Johnson Service Road,68,496592569,secondary,2,yes
E Beltline Ave NE,Grand Rapids,Kent,MI,East Beltline Avenue Northeast,68,41156602,primary,4,Not_Present_Value
Capitol Ave SE,Atlanta,Fulton,GA,Capitol Avenue Southeast,68,563545714,secondary,Not_Present_Value,Not_Present_Value
Eastern Ave SE,Grand Rapids,Kent,MI,Eastern Avenue Southeast,68,1221857948,secondary,Not_Present_Value,Not_Present_Value
Oakwood Ave NW,Huntsville,Madison,AL,Oakwood Avenue Northwest,68,794497376,tertiary,Not_Present_Value,Not_Present_Value
Garden State Pkwy Express Lane,Holmdel,Monmouth,NJ,Garden State Parkway,68,993848404,motorway,3,yes
Westchester Ave,West Harrison,Westchester,NY,North Westchester Avenue West,68,23526881,primary,3,yes
Capital Cir NW,Tallahassee,Leon,FL,Capital Circle Northwest,68,542272045,primary,4,yes
College Ave NE,Grand Rapids,Kent,MI,College Avenue Northeast,68,559352714,secondary,Not_Present_Value,Not_Present_Value
James S McDonnell Blvd,Hazelwood,St. Louis County,MO,McDonnell Boulevard,68,684711530,primary,Not_Present_Value,yes
Madison Ave SE,Grand Rapids,Kent,MI,Madison Avenue Southeast,68,701472228,tertiary,2,Not_Present_Value
VA Beach Norfolk Expy E,Virginia Beach,Virginia Beach,VA,Virginia Beach-Norfolk Expressway,68,48557886,motorway,5,yes
SE Military Dr,San Antonio,Bexar,TX,Southeast Military Drive,68,357834606,primary,3,yes
Peachtree St NE,Atlanta,Fulton,GA,Peachtree Street Northeast,68,38974973,secondary,4,no
Arthur Langford Pkwy W,Atlanta,Fulton,GA,Langford Parkway,68,9268647,motorway,3,yes
Jefferson St NE,Albuquerque,Bernalillo,NM,Jefferson Street Northeast,68,168768990,secondary,Not_Present_Value,yes
Central Ave NE,Minneapolis,Anoka,MN,Central Avenue Northeast,68,1026674253,trunk,4,yes
Suitland Pkwy E,Washington,District of Columbia,DC,Suitland Parkway Southeast,68,696737882,primary,5,yes
